construct,within_method_id,concentration,measure,response,method,nucleotide,experimenter,unique_experiment_id
W311*-GFP+SUR,11,1e-7,fluorescence,0.9250234456954075,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,0,fluorescence,1.0078117437594014,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,12,0,fluorescence,1,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,1e-4,fluorescence,0.5548833057260242,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,0,fluorescence,0.9739325979211274,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,1e-5,fluorescence,0.8041021532013825,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,0,fluorescence,1.0107704497145331,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,1e-6,fluorescence,0.9665309726547218,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,0,fluorescence,0.9968591574784285,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,1e-7,fluorescence,1.0254450263503039,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,0,fluorescence,1.013012891124102,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,0.001,fluorescence,0.13426116078552297,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,0,fluorescence,1.0461674427365601,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,1e-4,fluorescence,0.5510351488164833,pcf,TNP-ATP,Sam,178
W311*-GFP+SUR,12,0,fluorescence,0.9503342709212139,pcf,TNP-ATP,Sam,178
"W311*,C166S-GFP+SUR",36,1e-5,current,0.997416744197206,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,1e-4,current,0.909145360380119,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,0.001,current,0.313515380195374,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",37,1e-6,current,0.992484192699695,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,1e-5,current,1.02040576756237,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,1e-4,current,1.0327909840096,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,0.001,current,0.964727424152819,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",38,1e-5,current,1.00664021006393,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,1e-4,current,1.01676638607291,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,0.001,current,0.954910929729795,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",39,1e-6,current,0.989664246236339,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",39,1e-5,current,1.00211851167791,pcf,TNP-ATP,Sam,205
