n,concentration,raw_current,wash_current,barium_current,response,construct,measure,date,cumulative_exposure,dye,raw_intensity,corrected_intensity,method,unique_experiment_id
1,0,NA,NA,NA,1.0138283238294101,W311*-GFP+SUR,fluorescence,2020-11-02,6000,471.7451145510986,9.786921173559563,16.55862256411008,pcf,1
1,0,NA,NA,NA,1.030596549685058,W311*-GFP+SUR,fluorescence,2020-11-02,6000,507.9542876453923,19.57223400494873,27.16731193147519,pcf,1
1,0,NA,NA,NA,1.0639213633981675,W311*-GFP+SUR,fluorescence,2020-11-02,6000,560.892883758269,5.900123718628477,6.149100685912426,pcf,1
1,1e-6,NA,NA,NA,0.8965208859898771,W311*-GFP+SUR,fluorescence,2020-11-02,7000,471.7451145510986,8.453693884764936,14.642667425067751,pcf,1
1,1e-6,NA,NA,NA,0.9555796326161833,W311*-GFP+SUR,fluorescence,2020-11-02,7000,507.9542876453923,18.135577942735946,25.18980872057222,pcf,1
1,1e-6,NA,NA,NA,0.9303244630920604,W311*-GFP+SUR,fluorescence,2020-11-02,7000,560.892883758269,5.159243548957223,5.376956409493179,pcf,1
1,0,NA,NA,NA,0.9887029336880375,W311*-GFP+SUR,fluorescence,2020-11-02,8000,471.7451145510986,9.1738423471191215,16.148255401989836,pcf,1
1,0,NA,NA,NA,0.9842793927531583,W311*-GFP+SUR,fluorescence,2020-11-02,8000,507.9542876453923,18.675645104277127,25.94635631064322,pcf,1
1,0,NA,NA,NA,0.9923726525064002,W311*-GFP+SUR,fluorescence,2020-11-02,8000,560.892883758269,5.503340402969252,5.735573669389812,pcf,1
2,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2018-05-24,0,471.7451145510986,25.734112746086154,25.734112746086154,pcf,2
2,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2018-05-24,0,507.9542876453923,49.322801182557285,49.322801182557285,pcf,2
2,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2018-05-24,0,560.892883758269,10.563370960155888,10.563370960155888,pcf,2
2,1e-7,NA,NA,NA,1.0071112128857433,W311*-GFP+SUR,fluorescence,2018-05-24,1000,471.7451145510986,21.549795068198623,25.917113500249293,pcf,2
2,1e-7,NA,NA,NA,0.9975664773596126,W311*-GFP+SUR,fluorescence,2018-05-24,1000,507.9542876453923,44.643690788147524,49.2027730291922,pcf,2
2,1e-7,NA,NA,NA,0.9711860602336417,W311*-GFP+SUR,fluorescence,2018-05-24,1000,560.892883758269,9.451222871732845,10.258998625580258,pcf,2
2,0,NA,NA,NA,0.9718165077754339,W311*-GFP+SUR,fluorescence,2018-05-24,2000,471.7451145510986,17.7021299469193,25.008835579600728,pcf,2
2,0,NA,NA,NA,0.9822477584348287,W311*-GFP+SUR,fluorescence,2018-05-24,2000,507.9542876453923,40.43043405227441,48.44721090129361,pcf,2
2,0,NA,NA,NA,0.9789568363766574,W311*-GFP+SUR,fluorescence,2018-05-24,2000,560.892883758269,8.84540415238863,10.341084216627262,pcf,2
2,1e-6,NA,NA,NA,0.9500595778626602,W311*-GFP+SUR,fluorescence,2018-05-24,3000,471.7451145510986,15.087374857219649,24.448940292216715,pcf,2
2,1e-6,NA,NA,NA,0.9118193685112167,W311*-GFP+SUR,fluorescence,2018-05-24,3000,507.9542876453923,34.95807296915943,44.97348542748367,pcf,2
2,1e-6,NA,NA,NA,0.9373637274160925,W311*-GFP+SUR,fluorescence,2018-05-24,3000,560.892883758269,7.923516764093237,9.901720777290631,pcf,2
2,0,NA,NA,NA,1.0305756928900003,W311*-GFP+SUR,fluorescence,2018-05-24,4000,471.7451145510986,14.600144460122278,26.520951074207126,pcf,2
