n,concentration,raw_current,wash_current,barium_current,response,construct,nucleotide,method,measure,tolbutamide_response,unique_experiment_id
4,1E-05,NA,NA,NA,0.978868179600829,W311*-GFP+SUR,ATP,patch_clamp,current,0.451514636390724,21
4,3E-05,NA,NA,NA,0.828196081830889,W311*-GFP+SUR,ATP,patch_clamp,current,0.451514636390724,21
4,0.0001,NA,NA,NA,0.387486128812698,W311*-GFP+SUR,ATP,patch_clamp,current,0.451514636390724,21
4,0.0003,NA,NA,NA,0.058388317997886,W311*-GFP+SUR,ATP,patch_clamp,current,0.451514636390724,21
4,0.001,NA,NA,NA,0.018960390400527,W311*-GFP+SUR,ATP,patch_clamp,current,0.451514636390724,21
1,1E-05,NA,NA,NA,0.867615158689986,WT-GFP,TNP-ATP,patch_clamp,current,0.967243132734116,22
1,0.0001,NA,NA,NA,0.765898989920069,WT-GFP,TNP-ATP,patch_clamp,current,0.967243132734116,22
1,0.001,NA,NA,NA,0.157727080960505,WT-GFP,TNP-ATP,patch_clamp,current,0.967243132734116,22
2,0.0001,NA,NA,NA,0.766543747583092,WT-GFP,TNP-ATP,patch_clamp,current,1.08144754047097,23
2,0.001,NA,NA,NA,0.250468790398805,WT-GFP,TNP-ATP,patch_clamp,current,1.08144754047097,23
3,1E-05,NA,NA,NA,0.92201812030557,WT-GFP,TNP-ATP,patch_clamp,current,1.03194773054944,24
3,0.0001,NA,NA,NA,0.759258072198749,WT-GFP,TNP-ATP,patch_clamp,current,1.03194773054944,24
3,0.001,NA,NA,NA,0.150136507567796,WT-GFP,TNP-ATP,patch_clamp,current,1.03194773054944,24
1,0.01,NA,NA,NA,0.51145631480058,WT-GFP+TMD0_232,ATP,patch_clamp,current,NA,25
1,0.001,NA,NA,NA,0.78050741302313,WT-GFP+TMD0_232,ATP,patch_clamp,current,NA,25
1,0.0001,NA,NA,NA,0.96600348159334,WT-GFP+TMD0_232,ATP,patch_clamp,current,NA,25
1,1E-05,NA,NA,NA,0.976178494118802,WT-GFP+TMD0_232,ATP,patch_clamp,current,NA,25
