construct,method,wavelength,raw_spectra,background_corrected_spectra,bleaching_corrected_spectra,normalised_raw_spectra,normalised_background_corrected_spectra,normalised_bleaching_corrected_spectra,gfp_spectra,subtracted_spectra,normalised_subtracted_spectra
W311*-GFP,unroofed,411.85916554693773,8692.400856018567,22.864797073470413,22.864797073470413,0.6526476053515802,0.006977237417251766,0.006977237417251766,0.0027960239507109335,0.0041812134665408325,0.007887318456222954
W311*-GFP,unroofed,412.17215107238627,8690.020315453468,24.64027374739294,24.64027374739294,0.652468868300104,0.007519027586783751,0.007519027586783751,0.003859954625385324,0.003659072961398427,0.006902367920712894
W311*-GFP,unroofed,412.48513440785496,8693.211448288142,36.563089299685885,36.563089299685885,0.6527084666846478,0.011157298004104508,0.011157298004104508,-2.8430658340962647e-5,0.01118572866244547,0.021100430492633566
W311*-GFP,unroofed,412.7981155440862,8687.693289979416,31.787074433262205,31.787074433262205,0.6522941492980251,0.009699887753565855,0.009699887753565855,0.004122859486091708,0.0055770282674741465,0.010520342560103155
W311*-GFP,unroofed,413.11109447182184,8695.633428611976,41.13056020636179,41.13056020636179,0.6528903151388022,0.01255107065862958,0.01255107065862958,0.0018485851048161157,0.010702485553813465,0.020188854865113865
W311*-GFP,unroofed,413.42407118180296,8705.666200021444,43.19541731960169,43.19541731960169,0.6536436011807012,0.013181165833560831,0.013181165833560831,0.004669086575157158,0.008512079258403672,0.016056936669914517
W311*-GFP,unroofed,413.73704566477073,8729.902827996339,64.1848080359523,64.1848080359523,0.6554633489663385,0.019586119343572916,0.019586119343572916,0.0036043590104628213,0.015981760333110093,0.030147523977663952
W311*-GFP,unroofed,414.05001791146566,8742.215262011361,69.41414214892336,69.41414214892336,0.6563877978854643,0.02118186084624591,0.02118186084624591,0.004720595072251748,0.016461265773994163,0.03105204897836265
W311*-GFP,unroofed,414.3629879126279,8751.588073895651,61.49011389855093,61.49011389855093,0.6570915324845719,0.018763828172428394,0.018763828172428394,0.005536885200112719,0.013226942972315674,0.024950917301828968
W311*-GFP,unroofed,414.67595565899734,8772.387645435696,69.6986088954975,69.6986088954975,0.658653217315127,0.021268666428722032,0.021268666428722032,0.0034696903924575926,0.01779897603626444,0.0335754663846048
W311*-GFP,unroofed,414.98892114131354,8778.288299908152,72.8007233385622,72.8007233385622,0.6590962534883598,0.022215282700679306,0.022215282700679306,0.00727640433098921,0.014938878369690095,0.028180262027618225
W311*-GFP,unroofed,415.3018843503156,8824.050790138866,93.69908988109682,93.69908988109682,0.662532217862152,0.028592460006538666,0.028592460006538666,0.0072581666040239835,0.021334293402514682,0.04024438538014701
W311*-GFP,unroofed,415.6148452767423,8829.923407836835,97.58911696257815,97.58911696257815,0.6629731489629158,0.029779509356673773,0.029779509356673773,0.00420253555604439,0.025576973800629385,0.04824765325338241
W311*-GFP,unroofed,415.9278039113317,8847.305191592532,99.30045827041727,99.30045827041727,0.664278217577767,0.030301728494170423,0.030301728494170423,0.00878334894489924,0.02151837954927118,0.04059164008849098
W311*-GFP,unroofed,416.24076024482196,8865.150232815162,99.62625413197327,99.62625413197327,0.6656180687436604,0.030401145736682136,0.030401145736682136,0.004868404012226464,0.025532741724455674,0.04816421516213121
W311*-GFP,unroofed,416.5537142679511,8904.684075453768,130.8739277454482,130.8739277454482,0.668586370385038,0.03993643427816564,0.03993643427816564,0.005605224373280342,0.0343312099048853,0.06476138749531166
W311*-GFP,unroofed,416.8666659714557,8912.627479962966,119.37136476770888,119.37136476770888,0.669182781436155,0.03642640475353464,0.03642640475353464,0.007950454194159691,0.02847595055937495,0.05371619798959074
W311*-GFP,unroofed,417.17961534607304,8942.195958926457,139.40818940672023,139.40818940672023,0.6714028581800903,0.04254068086737915,0.04254068086737915,0.007604470583287424,0.03493621028409173,0.06590264246713316
W311*-GFP,unroofed,417.4925623825396,8971.327606516577,147.6780449747315,147.6780449747315,0.6735901365114242,0.045064243421596845,0.045064243421596845,0.01008685977387133,0.03497738364772551,0.06598031069275527
W311*-GFP,unroofed,417.8055070715915,8994.070190714372,145.02371699353137,145.02371699353137,0.6752977076833083,0.044254270061738064,0.044254270061738064,0.011242725556550275,0.03301154450518779,0.062272009388605186
W311*-GFP,unroofed,418.11844940396463,9027.483444257741,166.10102751043928,166.10102751043928,0.67780645989956,0.05068605247034893,0.05068605247034893,0.015203916207793032,0.0354821362625559,0.06693246122193458
W311*-GFP,unroofed,418.4313893703946,9077.343142534031,184.49408139257878,184.49408139257878,0.6815500530934981,0.05629872873209863,0.05629872873209863,0.00929278816766444,0.04700594056443419,0.088670627685677
W311*-GFP,unroofed,418.744326961616,9104.760213467502,187.52274898418045,187.52274898418045,0.683608596640543,0.05722293255409799,0.05722293255409799,0.012136128017846795,0.04508680453625119,0.08505042576673191
W311*-GFP,unroofed,419.0572621683643,9144.889126420137,199.3972311420705,199.3972311420705,0.686621577677395,0.060846453941858274,0.060846453941858274,0.012125693993336231,0.04872075994852204,0.09190541267942061
W311*-GFP,unroofed,419.3701949813734,9198.988169466462,222.28524667481338,222.28524667481338,0.6906834716789295,0.06783077651723703,0.06783077651723703,0.015612944246259055,0.05221783227097797,0.09850218734600381
W311*-GFP,unroofed,419.68312539137736,9249.042561276225,232.9267451717742,232.9267451717742,0.6944416829594587,0.0710780505363348,0.0710780505363348,0.01460805929142158,0.05646999124491322,0.10652333532667844
